filename,file_length,speech_length_minutes,speech_length_words,words_per_min,syllables_per_min,mean_pre_word_pause,mean_pause_variability,speech_percentage,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_overall,mattr_5,mattr_10,mattr_25,mattr_50,mattr_100,honore_statistic,brunet_index,yngve_score,frazier_score,first_person_percentage,first_person_sentiment_positive,first_person_sentiment_negative,first_person_sentiment_overall,word_repeat_percentage,phrase_repeat_percentage,word_coherence_mean,word_coherence_var,word_coherence_5_mean,word_coherence_5_var,word_coherence_10_mean,word_coherence_10_var,word_coherence_variability_2_mean,word_coherence_variability_2_var,word_coherence_variability_3_mean,word_coherence_variability_3_var,word_coherence_variability_4_mean,word_coherence_variability_4_var,word_coherence_variability_5_mean,word_coherence_variability_5_var,word_coherence_variability_6_mean,word_coherence_variability_6_var,word_coherence_variability_7_mean,word_coherence_variability_7_var,word_coherence_variability_8_mean,word_coherence_variability_8_var,word_coherence_variability_9_mean,word_coherence_variability_9_var,word_coherence_variability_10_mean,word_coherence_variability_10_var,num_turns,num_one_word_turns,mean_turn_length_minutes,mean_turn_length_words,mean_pre_turn_pause,speaker_percentage,first_order_sentence_tangeniality_mean,first_order_sentence_tangeniality_var,second_order_sentence_tangeniality_mean,second_order_sentence_tangeniality_var,turn_to_turn_tangeniality_mean,turn_to_turn_tangeniality_var,turn_to_turn_tangeniality_slope,semantic_perplexity_mean,semantic_perplexity_var,semantic_perplexity_5_mean,semantic_perplexity_5_var,semantic_perplexity_11_mean,semantic_perplexity_11_var,semantic_perplexity_15_mean,semantic_perplexity_15_var,num_interrupts
304_AUDIO,789.89,13.128333333333332,1291,98.33693030341502,143.1255554144979,0.2501991558139529,0.5007509166606486,1.6620457700861302,0.159,0.037,0.804,0.9993,0.9747211895910756,0.9353731343283581,0.8524075471698124,0.7627076923076916,0.6538640000000032,1747.7263226303808,13.26503237012515,33.75,69.73333333333333,19.708029197080293,12.766423357664234,0.7291970802919708,12.766423357664234,4.945397815912637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307_AUDIO,1238.31,20.6325,2849,138.08312128922816,202.15679146976856,0.13489955512640533,0.2346852244642766,1.6661821353296025,0.205,0.064,0.731,0.9999,0.9807940278249084,0.9493201903467205,0.8689306457123626,0.7740661612680895,0.660262973352047,1874.6619028134671,13.639005786168452,56.07142857142857,107.75714285714285,25.11013215859031,15.352422907488984,1.60704845814978,15.352422907488984,4.27112676056338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308_AUDIO,862.24,14.370666666666667,1119,77.86695119688254,119.20115049174244,0.4345716610017888,1.5436468854131047,1.6666666666666667,0.185,0.046,0.769,0.9993,0.9732310315430506,0.9295376712328722,0.8469384215091041,0.7618262411347518,0.6631910946196694,1685.4115953783928,12.761928281913168,37.145833333333336,64.27083333333333,24.752475247524753,13.92079207920792,1.1386138613861385,13.92079207920792,5.918918918918919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309_AUDIO,696.78,10.965499999999999,666,60.735944553371944,88.27686835985592,0.6663621744360904,5.417156877438086,1.5737392003214785,0.157,0.068,0.774,0.9959,0.9775182481751814,0.9427941176470531,0.847819548872179,0.7546874999999982,0.6537627118644062,1513.114420405865,12.38202939899783,45.96153846153846,95.65384615384616,36.53846153846153,9.963461538461539,2.4846153846153842,9.963461538461539,4.824961948249619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310_AUDIO,837.83,13.595333333333334,932,68.55293483057912,97.8276859706762,0.6207802363050484,5.708307667869869,1.6226839971513713,0.153,0.085,0.762,0.9977,0.9583417593528794,0.9192073170731626,0.8268730650154752,0.7384533898305111,0.6337695749440709,1788.6693881205088,12.847887768715006,29.659574468085108,61.276595744680854,19.753086419753085,12.277777777777777,1.6790123456790125,12.277777777777777,6.738894907908993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303_AUDIO,983.42,16.34883333333333,2058,125.88054193469463,183.49933226631873,0.18709468206125424,0.42849415596774926,1.6624466996129152,0.212,0.041,0.747,0.9999,0.9734521575984959,0.9385989656793697,0.8479924242424269,0.7498993770963157,0.6372950417280191,1605.2132606417679,14.321234950803342,62.59615384615385,142.48076923076923,13.66906474820144,18.302158273381295,0.560431654676259,18.302158273381295,4.997559785261103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300_AUDIO,648.37,10.615166666666665,439,41.35592155877597,59.631659104112046,0.6810802465753423,2.4287252473110907,1.6372081784577732,0.291,0.078,0.631,0.999,0.9649667405764981,0.925112107623318,0.8407424593967501,0.7544827586206889,0.6578932584269662,1561.4604953477424,11.733681650980973,29.48148148148148,61.22222222222222,23.809523809523807,22.17142857142857,1.857142857142857,22.17142857142857,5.534883720930233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305_AUDIO,1703.92,28.383666666666667,3130,110.27468849455673,156.32229803525502,0.25032223521891944,0.4954793807490666,1.6657863436468066,0.142,0.064,0.795,0.9998,0.9707541385653025,0.9256677924470593,0.8309808760024987,0.7349766863537455,0.6255509946321286,1897.4718197786099,14.07968907315453,41.679245283018865,86.35849056603773,28.47222222222222,10.156944444444443,1.8222222222222222,10.156944444444443,6.219160525472605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306_AUDIO,853.168701,14.20897835,1975,138.99662251227232,210.99335407179362,0.14108204711246247,0.2917427040800641,1.6654359604783484,0.207,0.08,0.713,0.9999,0.9685139774399169,0.9307276302851603,0.8493511639425507,0.7597693079237666,0.6500925925925997,1611.6377639042344,13.711251331491093,46.442622950819676,101.8360655737705,10.552763819095476,18.515577889447236,0.8442211055276382,18.515577889447236,6.052899287894202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302_AUDIO,757.25,12.155833333333334,612,50.34619867004867,74.28532254747378,0.5397722831423885,3.1286074153725734,1.6052602619126226,0.243,0.046,0.711,0.9994,0.9898412698412697,0.9710399999999976,0.9089836065573765,0.8243760683760665,0.7152710280373825,1565.2192833912527,11.893539937328335,34.708333333333336,63.875,22.22222222222222,18.9,1.0222222222222221,18.9,2.2056384742951907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
